338	1771848	1431
339	1773279	1371
340	1774650	1378
341	1776028	882
342	1776910	1516
343	1778426	831
344	1779257	824
345	1780081	850
346	1780931	813
347	1781744	1535
348	1783279	823
349	1784102	824
350	1784926	1557
351	1786483	812
352	1787295	1464
353	1788759	1453
354	1790212	829
355	1791041	10031
356	1801072	18614
357	1819686	11786
358	1831472	12158
359	1843630	9378
360	1853008	8847
361	1861855	7152
362	1869007	13994
363	1883001	16553
364	1899554	14699
365	1914253	14205
366	1928458	21574
367	1950032	21131
368	1971163	15195
369	1986358	17985
370	2004343	6478
371	2010821	14292
372	2025113	14164
373	2039277	795
374	2040072	459
375	2040531	303
376	2040834	6378
377	2047212	9972
378	2057184	7905
379	2065089	4344
380	2069433	6784
381	2076217	6238
382	2082455	3198
383	2085653	2555
384	2088208	1586
385	2089794	4020
386	2093814	3260
387	2097074	3848
388	2100922	2989
389	2103911	28746
390	2132657	7252
391	2139909	6270
392	2146179	1765
393	2147944	1800
394	2149744	1544
395	2151288	1225
396	2152513	11129
397	2163642	3373
398	2167015	7828
399	2174843	5370
400	2180213	11547
401	2191760	5221
402	2196981	16196
403	2213177	8039
404	2221216	11435
405	2232651	19992
406	2252643	9239
407	2261882	18433
408	2280315	2258
409	2282573	13022
410	2295595	10751
411	2306346	6981
412	2313327	24114
413	2337441	24087
414	2361528	7381
415	2368909	12595
